tof posE posN posU tgtE tgtN tgtU phi p rollRateError theta alphaRadians q pitchRateError psi betaRadians r yawRateError rollFinCommand rollFinDeflection pitchFinCommand pitchFinDeflection yawFinCommand yawFinDeflection vdot guidanceSideCommand wdot guidanceNormalCommand mach accelerationLimit staticMargin alphaPrimeDegrees seekerPitch seekerYaw seekerPitchError seekerYawError
0.0533333333 0.1363689556 0.0635898883 0.1504685356 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853955321 -0.0000181570 -0.0003504081 0.9846812804 0.4363323130 -0.0000000000 -0.0000000000 -0.0039252856 0.0000000000 0.0000000000 0.0654880447 0.1996220332 -0.0004878091 0.0000000000 0.0000000000 0.0065317832 0.0191686940 -0.0013794658 0.0293398630 50.0000026807 1.6197393721 0.0010403217 -0.0082642700 0.0368432429 -0.0260655541 0.1262390179
0.0550000000 0.1476543875 0.0688523717 0.1629210812 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853949481 -0.0000206695 -0.0004164306 0.9304739716 0.4363323130 -0.0000000000 -0.0000000000 -0.0041764839 0.0000000000 0.0000000000 0.0626506183 0.2061670179 -0.0005160897 0.0000000000 0.0000000000 0.0073548889 0.0221758814 -0.0015587820 0.0310500953 50.0000034220 1.6210458687 0.0011842739 -0.0086882722 0.0389310359 -0.0259690075 0.1251405201
0.0566666667 0.1595618988 0.0744049354 0.1760600989 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853942540 -0.0000234888 -0.0004922944 0.8818806531 0.4363323130 -0.0000000000 -0.0000000000 -0.0044305122 0.0000000000 0.0000000000 0.0600289463 0.2127120026 -0.0005446828 0.0000000000 0.0000000000 0.0082323349 0.0254758194 -0.0017508397 0.0327617265 50.0000043376 1.6223460466 0.0013458100 -0.0091146423 0.0410340961 -0.0258719746 0.1240350223
0.0583333333 0.1720919921 0.0802478138 0.1898861556 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.7853934335 -0.0000266350 -0.0005789161 0.8380689824 0.4363323130 -0.0000000000 -0.0000000000 -0.0046873676 0.0000000000 0.0000000000 0.0576023976 0.2192569873 -0.0005735871 0.0000000000 0.0000000000 0.0091650002 0.0290820244 -0.0019559332 0.0344747528 50.0000054591 1.6236394968 0.0015260735 -0.0095429914 0.0431496712 -0.0257745470 0.1229239792
0.0600000000 0.1852451695 0.0863812412 0.2043998184 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.7853924687 -0.0000301296 -0.0006772528 0.7983628360 0.4363323130 0.0000000000 -0.0000000000 -0.0049470432 0.0000000000 0.0000000000 0.0553520439 0.2258019720 -0.0006028008 0.0000000000 -0.0000000000 0.0101537554 0.0330080125 -0.0021743564 0.0361891836 50.0000068225 1.6249257787 0.0017262970 -0.0099729583 0.0452751848 -0.0256768095 0.1218087481
0.0616666667 0.1990219329 0.0928054515 0.2196016554 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.7853913399 -0.0000339956 -0.0007883032 0.7622072445 0.4363323130 -0.0000000000 -0.0000000000 -0.0052095277 0.0000000000 0.0000000000 0.0532607581 0.2323469567 -0.0006323218 0.0000000000 0.0000000000 0.0111994612 0.0372673798 -0.0024064026 0.0379050113 50.0000084682 1.6262044202 0.0019478022 -0.0104042075 0.0474082313 -0.0255788396 0.1206905918
0.0633333333 0.2134227834 0.0995206783 0.2354922348 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.7853900261 -0.0000382576 -0.0009131070 0.7291423700 0.4363323130 0.0000000000 -0.0000000000 -0.0054748068 0.0000000000 0.0000000000 0.0513131669 0.2388919414 -0.0006621476 0.0000000000 -0.0000000000 0.0123029676 0.0418737525 -0.0026523641 0.0396222435 50.0000104420 1.6274749182 0.0021919993 -0.0108364278 0.0495465689 -0.0254807087 0.1195706831
0.0650000000 0.2284482216 0.1065271552 0.2520721256 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.7853885042 -0.0000429419 -0.0010527453 0.6987839097 0.4363323130 0.0000000000 0.0000000000 -0.0057428628 0.0000000000 0.0000000000 0.0494955296 0.2454369261 -0.0006922758 0.0000000000 -0.0000000000 0.0134651126 0.0468408223 -0.0029125325 0.0413408689 50.0000127948 1.6287367380 0.0024603880 -0.0112693299 0.0516881127 -0.0253824823 0.1184501085
0.0666666667 0.2440987477 0.1138251154 0.2693418974 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.7853867496 -0.0000480761 -0.0012083409 0.6708080862 0.4363323130 0.0000000000 0.0000000000 -0.0060136752 0.0000000000 0.0000000000 0.0477955694 0.2519819108 -0.0007227034 0.0000000000 -0.0000000000 0.0146867221 0.0521822363 -0.0031871980 0.0430608913 50.0000155840 1.6299893132 0.0027545588 -0.0117026456 0.0538309281 -0.0252842200 0.1173298723
0.0683333333 0.2603748611 0.1214147917 0.2873021200 4000.0000000000 4000.0000000000 4000.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.7853847357 -0.0000536897 -0.0013810582 0.6449403743 0.4363323130 0.0000000000 0.0000000000 -0.0062872212 0.0000000000 0.0000000000 0.0462024124 0.2585268955 -0.0007534274 0.0000000000 -0.0000000000 0.0159686094 0.0579118213 -0.0034766503 0.0447823144 50.0000188734 1.6312320452 0.0030761943 -0.0121361254 0.0559732231 -0.0251859764 0.1162109007
