1 aimc11_3.asc Terminal guidance against 3 g target ' Missile AIM ' Nov 30 2022 22:16:57
  0  0 76
time            vmach           pdynmc          psiblx          thtblx          
phiblx          alppx           phipx           alphax          betax           
erq             etbl            ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           track           VBEL1           
VBEL2           VBEL3           dvbe            hbe             psivlx          
thtvlx          anx             ayx             dts             vmass           
thrust          ai11            ai33            stmarg          realq1          
realq2          wnq             zetq            gavail          gmax            
dbt             ththbx          phihbx          EAHH1           EAHH2           
EAHH3           thtpbx          psipbx          sigdpy          sigdpz          
ancomx          alcomx          apny            adely           all             
tgoc            dtbc            dvtbc           psiobcx         thtobcx         
phicomx         dpcx            dqcx            drcx            dpx             
dqx             drx             delx1           ddx1            miss            
etax            zetx            etacx           zetcx           detas           
dzeta           
-3.05446        14.4992         738.448         990.762         -0.237041       
-1.12506        0.412509        -0.370605       9721.01         75.1792         
35095.1         0.26909         51.7756         0.466584        0               
0               8.47709         0.0925844       49.4151         50              
9087.5          0.641696        130.259         0               0.00019815      
0.000128108     -0.414684       0.48971         -0.000703642    -0.00219188     
0.429851        -0.467375       -0.827115       0.359685        -0.467375       
0               0               0               0               0               
0               6.93735e-05     -0.0447872      0.0511807       7.70243e-05     
-0.0448042      0.050544        -0.0954252      -0.0131946      0               
0               0               0               0               0               
0               
1.3             2.25471         320219          -0.588622       -0.79615        
-0.000810285    0.473406        43.8489         0.341409        0.327954        
-1.06438e-09    3.70443e-09     0.001365        -0.430889       -0.741223       
640.596         -1.01802        -990.023        640.597         758.903         
-3.44817        15.0666         759.06          990.023         -0.260329       
-1.13734        0.419388        -0.400426       9708.62         74.4769         
34951.1         0.267325        51.4732         0.440397        0               
0               8.38674         0.09462         49.3875         50              
9037.64         0.653349        127.473         0               0.000195207     
0.000146807     -0.397487       0.51853         -0.000667521    -0.00229689     
0.451678        -0.504893       -0.88475        0.379813        -0.504893       
0               0               0               0               0               
0               2.86849e-05     -0.0488662      0.0504517       2.60182e-05     
-0.0476531      0.0511563       -0.0988354      -0.0550004      0               
0               0               0               0               0               
0               
1.35            2.31577         337832          -0.627215       -0.81668        
-0.000810285    0.477597        45.7846         0.33306         0.342303        
-1.1733e-09     4.06195e-09     0.0108065       -0.366129       -0.793576       
679.055         -1.20086        -989.255        679.057         779.447         
-3.8709         15.6411         779.613         989.255         -0.284541       
-1.14958        0.423909        -0.436688       9696.23         73.7764         
34807.7         0.265559        51.1732         0.411275        0               
0               8.2446          0.0971906       49.3587         50              
8986.77         0.668181        124.541         0               0.000194638     
0.000163648     -0.378849       0.550403        -0.000660469    -0.00239187     
0.463712        -0.538046       -0.940035       0.401957        -0.538046       
0               0               0               0               0               
0               -3.23206e-06    -0.0477573      0.0467169       1.62244e-05     
-0.0489731      0.0477535       -0.0967429      0.145832        0               
0               0               0               0               0               
0               
1.4             2.37665         355860          -0.666774       -0.833051       
-0.000810285    0.484783        47.353          0.328435        0.356576        
-1.09074e-09    3.77363e-09     0.028217        -0.304566       -0.782893       
718.54          -1.40566        -988.459        718.542         799.925         
-4.32611        16.217          800.101         988.459         -0.309861       
-1.16139        0.436399        -0.473466       9683.84         73.0969         
34670.2         0.263793        50.9011         0.381316        0               
0               8.06504         0.100153        49.326          50              
8934.87         0.687475        122.009         0               0.000194672     
0.000180727     -0.364392       0.582962        -0.000682019    -0.00249726     
0.461373        -0.576581       -1.00091        0.424324        -0.576581       
0               0               0               0               0               
0               -6.30375e-05    -0.0417524      0.0451814       -4.92059e-05    
-0.0434043      0.0453392       -0.0886943      0.140855        0               
0               0               0               0               0               
0               
1.45            2.43731         374296          -0.705769       -0.849102       
0.000810285     0.490999        48.787          0.323504        0.36936         
-1.09876e-09    3.81086e-09     0.0263205       -0.355064       -0.777753       
759.046         -1.63399        -987.634        759.049         820.334         
-4.81222        16.7893         820.52          987.634         -0.336103       
-1.17246        0.449216        -0.510544       9671.46         72.4174         
34532.7         0.262027        50.6289         0.362295        0               
0               8.00013         0.102222        49.2907         50              
8881.96         0.707454        119.68          0               0.000191942     
0.0001983       -0.350295       0.614646        -0.000688538    -0.00260872     
0.464537        -0.619986       -1.06583        0.44588         -0.619986       
0               0               0               0               0               
0               -0.000119093    -0.0393309      0.0446615       -0.00013492     
-0.0393343      0.0447942       -0.0839935      0.0280762       0               
0               0               0               0               0               
0               
1.5             2.49777         393136          -0.744526       -0.868502       
0.00282003      0.494238        50.4326         0.314828        0.380994        
-1.16222e-09    4.02869e-09     0.0368582       -0.407259       -0.775335       
800.572         -1.88741        -986.78         800.576         840.674         
-5.32992        17.3624         840.87          986.78          -0.363254       
-1.18314        0.453975        -0.548475       9659.09         71.7378         
34395.2         0.260261        50.3567         0.350349        0               
0               8.01302         0.103594        49.257          50              
8828.03         0.726502        117.268         0               0.000187897     
0.000215715     -0.332838       0.645777        -0.000680372    -0.00271617     
0.476111        -0.663963       -1.13074        0.466845        -0.663963       
0               0               0               0               0               
0               -0.000223981    -0.0411263      0.0448781       -0.000170028    
-0.0406774      0.0447976       -0.085305       -0.0417849      0               
0               0               0               0               0               
0               
1.55            2.55801         412371          -0.783796       -0.888062       
0.00531413      0.497437        52.0571         0.305867        0.392289        
-1.17506e-09    4.07087e-09     0.0161487       -0.36537        -0.799118       
843.112         -2.16749        -985.897        843.117         860.94          
-5.87876        17.9411         861.147         985.897         -0.391227       
-1.19379        0.458124        -0.587407       9646.72         71.0583         
34257.8         0.258496        50.0845         0.336705        0               
0               7.99515         0.105301        49.2229         50              
8773.1          0.746887        114.964         0               0.000184811     
0.00023134      -0.315211       0.677117        -0.000686449    -0.00281852     
0.481874        -0.70747        -1.19506        0.487699        -0.70747        
0               0               0               0               0               
0               -0.000245181    -0.0395549      0.0440892       -0.000252931    
-0.040451       0.0444826       -0.0846806      0.0786924       0               
0               0               0               0               0               
0               
1.6             2.61801         431993          -0.824269       -0.905564       
0.0065645       0.502365        53.5137         0.298726        0.403899        
-1.19101e-09    4.12759e-09     0.00720175      -0.345836       -0.816253       
886.664         -2.47584        -984.986        886.67          881.128         
-6.46055        18.5216         881.346         984.986         -0.420093       
-1.20417        0.466269        -0.62902        9634.36         70.3788         
34120.3         0.25673         49.8124         0.321242        0               
0               7.94253         0.107416        49.1857         50              
8717.16         0.770073        112.904         0               0.000181242     
