tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.2960000000000002 108.64916963233408 101.5250819669048 9.362602357659616 3000.0 3000.0 3000.0 -0.01191317493527019 -0.7736093930595582 0.21489222738201738 -2.450261738741901e-17 -4.335143499332479e-18 -0.011171642710052379 4.756165454146912e-18 2.6015184014877446e-19 0.02103984098372059 -4.714834188451525e-18 -0.0012362484212768358 -0.0012362484212768375 -0.0012362484212768375 -0.0012362484212768393 -0.0011211497960404184 -0.0011211497960404199 -0.0011211497960404205 -0.0011211497960404218
0.3040000000000002 109.19710068079003 101.62169699431547 9.895280354455524 3000.0 3000.0 3000.0 -0.012732770404786377 -0.7839039125085967 0.22918457708457776 -3.813327876441796e-17 -5.952043765244533e-18 -0.012122005940387563 4.9678425347272355e-18 2.634417529460388e-19 0.020926679281117935 -9.367274315749527e-18 -0.0013064694572915976 -0.0013064694572915993 -0.0013064694572915989 -0.0013064694572916006 -0.0011862344779097833 -0.0011862344779097846 -0.001186234477909785 -0.0011862344779097866
0.3120000000000002 109.76232600975405 101.72136146999165 10.444797370134404 3000.0 3000.0 3000.0 -0.01357455449745712 -0.795161769508897 0.24394091100263446 -3.216893049366621e-17 -7.044599795976359e-18 -0.013116360530440943 5.30775715252452e-18 2.55478048363143e-19 0.020818667611156385 8.545243077217088e-18 -0.0013776145737374966 -0.0013776145737374984 -0.0013776145737374975 -0.0013776145737374992 -0.001250328438485505 -0.0012503284384855066 -0.0012503284384855066 -0.0012503284384855083
0.32000000000000023 110.34485090076612 101.82407632521134 11.011145683257856 3000.0 3000.0 3000.0 -0.014437563829295483 -0.807433238151237 0.25916173703780815 -7.210649300220065e-17 -9.193785314137414e-18 -0.014154038937206743 5.270538694115688e-18 2.4147931892882504e-19 0.020715326312936756 1.304975206394938e-17 -0.0014496905671173336 -0.0014496905671173353 -0.001449690567117334 -0.0014496905671173357 -0.0013193391143723043 -0.001319339114372306 -0.0013193391143723056 -0.0013193391143723075
0.32800000000000024 110.94468116496711 101.92984258463545 11.594316947709403 3000.0 3000.0 3000.0 -0.015320747277574428 -0.8207553293563806 0.2748475823345147 -8.359737896502286e-17 -1.1228919322730172e-17 -0.015233948552584779 5.151381695512566e-18 2.0998053852738573e-19 0.020616232161237095 1.5517400377272297e-17 -0.0015226463128577641 -0.0015226463128577658 -0.0015226463128577645 -0.0015226463128577663 -0.001394636586261024 -0.001394636586261026 -0.0013946365862610248 -0.0013946365862610268
0.33600000000000024 111.56182316468367 102.03866137011386 12.19430216967341 3000.0 3000.0 3000.0 -0.01622296694006887 -0.8351530310684082 0.2909989932593677 -9.058512054287035e-17 -1.227580671700544e-17 -0.016355513357863227 4.9806956731095706e-18 1.6124180545180138e-19 0.02052100617625734 7.742064843290354e-18 -0.0015963307881632543 -0.001596330788163256 -0.0015963307881632538 -0.0015963307881632556 -0.0014716812981696596 -0.0014716812981696616 -0.0014716812981696598 -0.0014716812981696616
0.34400000000000025 112.19628382967443 102.15053390354996 12.811091690076728 3000.0 3000.0 3000.0 -0.017143001597404166 -0.8506537662751187 0.3076165352839098 -7.32529636583757e-17 -1.236468222172188e-17 -0.017518974287334056 4.9743757429027966e-18 1.027603622489579e-19 0.020429306218459842 1.9113315087911065e-17 -0.001670563076897058 -0.0016705630768970598 -0.0016705630768970572 -0.001670563076897059 -0.001545177650500913 -0.0015451776505009146 -0.0015451776505009127 -0.0015451776505009142
0.35200000000000026 112.84807067421008 102.26546150991243 13.444675166020222 3000.0 3000.0 3000.0 -0.01807954542604161 -0.8672988234215291 0.32470079298724625 -1.0425864193062547e-16 -1.330023651819727e-17 -0.018724657147865163 4.725073163202477e-18 4.3513777808661637e-20 0.020340825438002717 1.1187152721879127e-17 -0.001745236848392185 -0.0017452368483921862 -0.0017452368483921836 -0.001745236848392185 -0.0016148020681346403 -0.0016148020681346418 -0.0016148020681346399 -0.0016148020681346414
0.36000000000000026 113.51719182000893 102.38344562127934 14.095041545992128 3000.0 3000.0 3000.0 -0.019031199636024725 -0.8851375228725664 0.34225237026230027 -8.407165516367641e-17 -1.3324964418031392e-17 -0.019971999345855102 4.660070221575795e-18 -2.520886134082803e-20 0.020255292189067457 5.704101238833763e-18 -0.001820341771377297 -0.0018203417713772983 -0.0018203417713772956 -0.001820341771377297 -0.0016852156742749272 -0.0016852156742749288 -0.0016852156742749266 -0.001685215674274928
0.36800000000000027 114.20365602264607 102.50448778149479 14.762179041408043 3000.0 3000.0 3000.0 -0.019996463329260618 -0.9042093240644969 0.3602718905534367 -7.08962313865749e-17 -1.1853805124727083e-17 -0.021259456171371646 4.72148709781412e-18 -9.464838818522434e-20 0.02017246628441945 1.7461803151605557e-17 -0.0018958771430927137 -0.001895877143092715 -0.001895877143092712 -0.0018958771430927133 -0.0017606289605439428 -0.0017606289605439443 -0.0017606289605439417 -0.0017606289605439432
0.3760000000000003 114.90747269372771 102.6285896500789 15.446075102539861 3000.0 3000.0 3000.0 -0.020973732014038883 -0.9245340851727103 0.3787599968731413 -1.0852099969876746e-16 -1.0575983621673742e-17 -0.022585447863335002 4.539891329484396e-18 -1.518289487717922e-19 0.0200921313490846 -4.3693067650119064e-18 -0.001971754641240101 -0.001971754641240102 -0.0019717546412400993 -0.0019717546412401 -0.0018401288121855177 -0.001840128812185519 -0.0018401288121855162 -0.0018401288121855173
0.3840000000000003 115.62865191448029 102.75575300462388 16.146716403322742 3000.0 3000.0 3000.0 -0.021961304247052053 -0.9461227449773598 0.39771735156417276 -4.29816142889195e-17 -7.105704037729595e-18 -0.02394930861545992 4.747345564971413e-18 -2.0023541563050146e-19 0.020014088067320312 -1.6456827999787284e-17 -0.0020477999675438444 -0.0020477999675438453 -0.0020477999675438427 -0.0020477999675438435 -0.0019188370331978811 -0.0019188370331978822 -0.0019188370331978794 -0.0019188370331978803
0.3920000000000003 116.36720444519885 102.88597974246008 16.864088830324306 3000.0 3000.0 3000.0 -0.022957387203721636 -0.9689973385213501 0.41714463606206864 -8.171196262158954e-18 -2.3622943626343137e-18 -0.02535114380518649 5.13687500472846e-18 -2.19229433786371e-19 0.019938152648916574 5.611342493935348e-18 -0.002123852088987723 -0.0021238520889877237 -0.002123852088987722 -0.002123852088987723 -0.001993342777524663 -0.001993342777524664 -0.0019933427775246614 -0.0019933427775246622
0.4000000000000003 117.12314173918097 103.01927188311288 17.598177466844913 3000.0 3000.0 3000.0 -0.023960092279918545 -0.9931972052595913 0.4370425509258213 -8.836029587190346e-17 -3.733812532844661e-19 -0.026790712949956868 5.1851588440913225e-18 -1.9718312763336865e-19 0.01986415941842008 8.0197220535427e-18 -0.00219984883395824 -0.002199848833958241 -0.002199848833958239 -0.00219984883395824 -0.0020652584627350546 -0.0020652584627350555 -0.0020652584627350533 -0.002065258462735054
0.4080000000000003 117.89647596397252 103.15563157204889 18.348966569247324 3000.0 3000.0 3000.0 -0.024967423062269282 -1.0187628435349365 0.4574118160925022 -1.0060947256254538e-16 5.728075079465429e-19 -0.028266586936838384 5.2203943102345896e-18 -1.5886002459500295e-19 0.0197919621835225 1.372170410539898e-17 -0.0022758028672122707 -0.0022758028672122724 -0.0022758028672122707 -0.0022758028672122724 -0.002139109655963872 -0.0021391096559638728 -0.002139109655963871 -0.002139109655963872
0.4160000000000003 118.6872200230924 103.29506108450666 19.116439542723583 3000.0 3000.0 3000.0 -0.025977267827225668 -1.0429436911426144 0.47825317101713627 -1.2792758392948265e-16 9.80246961281302e-19 -0.030049796204214427 5.122647334830253e-18 -1.1271110326396856e-19 0.019681030468365824 -4.188528717233406e-18 -0.002351695380332925 -0.0023516953803329257 -0.002351695380332925 -0.0023516953803329257 -0.002217152719691985 -0.002217152719691986 -0.0022171527196919844 -0.0022171527196919853
0.4240000000000003 119.49693388374497 103.43783548479333 19.902142814547794 3000.0 3000.0 3000.0 -0.027142076681522753 -1.0758524488903634 0.5015189424059461 -5.891547355323548e-17 1.9039049004618563e-18 -0.03187681485069467 5.457682878249709e-18 -6.410750862648349e-20 0.019573561631877585 7.641359043362887e-18 -0.0025456424018322774 -0.002545642401832279 -0.0025456424018322783 -0.00254564240183228 -0.0022969381122219645 -0.002296938112221966 -0.0022969381122219645 -0.0022969381122219658
0.43200000000000033 120.32563404139201 103.58395768150386 20.706055401711783 3000.0 3000.0 3000.0 -0.028309145386840037 -1.110625063889189 0.5253469394437094 -1.1561912682857162e-16 1.0103852733998201e-18 -0.03373995829747919 5.647057092705548e-18 -5.482039229122691e-21 0.019469323635026528 2.4510111052962265e-19 -0.0026432011129159756 -0.0026432011129159765 -0.0026432011129159765 -0.0026432011129159773 -0.002393056820789907 -0.002393056820789909 -0.002393056820789907 -0.002393056820789909
0.44000000000000034 121.1733380028457 103.73343076156159 21.528155158052474 3000.0 3000.0 3000.0 -0.02947449547485546 -1.1472559231303427 0.5497381296626193 -8.861808972320314e-17 -1.2995779407420006e-19 -0.03562277551748182 5.927748130889959e-18 4.746277142264444e-20 0.019368140430075287 3.3134520416473295e-18 -0.00274007547811774 -0.002740075478117742 -0.002740075478117741 -0.0027400754781177427 -0.0025318045178610348 -0.002531804517861036 -0.002531804517861035 -0.002531804517861037
0.44800000000000034 122.04006428932422 103.88625799075702 22.368418769475387 3000.0 3000.0 3000.0 -0.030634841102678403 -1.1854907963060577 0.5746934760704846 -1.0866557572012313e-16 -3.3770127380417563e-18 -0.037514161288467227 6.1733119515792936e-18 9.347434064265457e-20 0.019269835616573607 -1.2519865782382226e-17 -0.002835664713722841 -0.002835664713722843 -0.002835664713722842 -0.0028356647137228437 -0.0026921892412333477 -0.002692189241233349 -0.002692189241233349 -0.0026921892412333503
