1 input_insertion.asc  Three-stage rocket ascent  ' SLV ' Nov 30 2022 22:11:34
  0  0 108
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           EVBI1           EVBI2           EVBI3           ESBI1           
ESBI2           ESBI3           ins_pos_err     ins_vel_err     ins_tilt_err    
UTBC1           UTBC2           UTBC3           lamd            dpd             
dbd             ddb             dvdb            thtvddbx        waclp           
zaclp           paclp           alcomx_actual   ancomx_actual   GAINFP1         
GAINFP2         GAINFP3         wacly           alcomx          ancomx          
wnact           delax           delex           delrx           modes           
ucbias_error    ucfreq_error    SXH1            SXH2            SXH3            
VXH1            VXH2            VXH3            CXH1            CXH2            
CXH3            std_pos         std_vel         std_ucbias      gps_pos_meas    
gps_vel_meas    state_pos       state_vel       URIC1           URIC2           
URIC3           etax            zetx            
129.256         33.6521         380.879         -82.0276        83.9954         
1.90801         0               -0              0.00103024      48109.8         
10.4243         874.227         1.40763e+06     30300.8         0.4             
0               60              19              -2.50243        -2.50243        
0.191068        0               0               0.191068        0               
0               0.00556367      0.00556367      -1.60209        0.137797        
-0              82.2297         -83.0082        -6.83764e-05    -0.00024284     
-0.000486419    -0.0833541      0.051072        0.0383316       -5.82569        
-0.828846       -2.5705         6.4213          0.105003        0.000547951     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.92778         -0.227721       0               0               0               
0               0               0               0               0               
0               5.01327         0.200425        3.50516         0               
0               0               0               0               0               
0               0               0               
1.8             0.104724        765.72          -83.0221        82.0296         
-0.0204785      0               180             -1.6513         0.104035        
-3.49132e-05    -2.22614        -0.086588       -120.49         34.68           
132.699         35.6033         380.657         -82.0834        83.677          
2.28016         0               -0              0.00123119      48058.4         
10.4181         925.637         1.40763e+06     30249.4         0.4             
0               62              19              -2.4993         -2.4993         
0.202125        0               0               0.202125        0               
0               0.00623749      0.00623749      -1.52575        0.143944        
-0              81.9995         -83.07          -6.82777e-05    -0.000242505    
-0.000486557    -0.0824716      0.0495408       0.0388506       -5.83398        
-0.823815       -2.56664        6.42664         0.103756        0.000547913     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.91853         -0.052091       0               0               0               
0               0               0               0               0               
0               5.01477         0.20045         3.55742         0               
0               0               0               0               0               
0               0               0               
1.9             0.110482        851.865         -83.0824        81.8207         
-0.0802141      0               180             -1.55746        0.111331        
-3.46916e-05    -1.91107        -0.0865708      -120.49         34.68           
136.333         37.5582         380.433         -82.137         83.3745         
2.69297         0               -0              0.00145409      48007           
10.4118         977.047         1.40763e+06     30198           0.4             
0               66              19              -2.49616        -2.49616        
0.213198        0               0               0.213198        0               
0               0.0069522       0.0069522       -1.44278        0.14966         
-0              81.7906         -83.1288        -6.81826e-05    -0.000242203    
-0.000486685    -0.0815945      0.048006        0.0393722       -5.84218        
-0.818938       -2.56273        6.4319          0.10253         0.000547881     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.912           0.0441327       0               0               0               
0               0               0               0               0               
0               5.01635         0.200475        3.6116          0               
0               0               0               0               0               
0               0               0               
2               0.116252        942.73          -83.1088        81.6334         
-0.106375       0               180             -1.45717        0.113612        
-3.46831e-05    -1.75303        0.0534066       -120.49         34.68           
140.16          39.5168         380.21          -82.1879        83.0871         
3.14756         0               -0              0.00169954      47955.5         
10.4056         1028.46         1.40763e+06     30146.5         0.4             
0               68              21              -2.49302        -2.49302        
0.224287        0               0               0.224287        0               
0               0.00770816      0.00770816      -1.35228        0.150514        
-0              81.6033         -83.1539        -6.80833e-05    -0.000241932    
-0.000486804    -0.0807221      0.0464679       0.0398964       -5.8503         
-0.814214       -2.55877        6.4371          0.101326        0.000547854     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.91672         -0.112711       0               0               0               
0               0               0               0               0               
0               5.01801         0.2005          3.66761         0               
0               0               0               0               0               
0               0               0               
2.1             0.122033        1038.33         -83.0707        81.4635         
-0.0686844      0               180             -1.35387        0.106751        
-3.5193e-05     -1.59483        0.0534206       -120.49         34.68           
144.179         41.4792         379.987         -82.2308        82.8141         
3.64491         0               -0              0.00196809      47904.1         
10.3994         1079.87         1.40763e+06     30095.1         0.4             
0               70              21              -2.48989        -2.48989        
0.235392        0               0               0.235392        0               
0               0.00850573      0.00850573      -1.25788        0.142361        
-0              81.4334         -83.1149        -6.79706e-05    -0.000241682    
-0.000486915    -0.0798539      0.0449268       0.0404228       -5.85833        
-0.809645       -2.55475        6.44223         0.100145        0.000547829     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.91357         -0.0386104      0               0               0               
0               0               0               0               0               
0               5.01975         0.200525        3.72535         0               
0               0               0               0               0               
0               0               0               
2.2             0.127826        1138.68         -83.0342        81.3092         
-0.0325188      0               180             -1.24863        0.100378        
-3.56669e-05    -1.454          0.0534333       -120.49         34.68           
148.391         43.4452         379.766         -82.2654        82.5546         
4.18593         0               -0              0.00226022      47852.7         
10.3932         1131.28         1.40763e+06     30043.7         0.4             
0               72              21              -2.48675        -2.48675        
0.246512        0               0               0.246512        0               
0               0.00934526      0.00934526      -1.16073        0.134808        
-0              81.2791         -83.0776        -6.78609e-05    -0.000241457    
-0.00048702     -0.0789894      0.043383        0.0409515       -5.86627        
-0.805229       -2.55068        6.44729         0.0989871       0.000547809     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.90399         -0.0830576      0               0               0               
0               0               0               0               0               
0               5.02157         0.200549        3.78475         0               
0               0               0               0               0               
0               0               0               
2.3             0.133631        1243.79         -82.9988        81.1693         
0.00239219      0               180             -1.14174        0.0944329       
-3.61111e-05    -1.31301        0.0534448       -120.49         34.68           
152.795         45.415          379.548         -82.2933        82.3081         
4.77147         0               -0              0.00257639      47801.3         
10.387          1182.69         1.40763e+06     29992.3         0.4             
0               74              21              -2.48361        -2.48361        
0.257647        0               0               0.257647        0               
0               0.0102271       0.0102271       -1.06124        0.127781        
-0              81.1393         -83.0416        -6.77542e-05    -0.000241253    
-0.000487117    -0.0781282      0.0418366       0.0414822       -5.87413        
-0.800968       -2.54656        6.45228         0.0978525       0.000547792     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.9049          0.253349        0               0               0               
0               0               0               0               0               
0               5.02346         0.200574        3.84572         0               
0               0               0               0               0               
0               0               0               
2.4             0.139447        1353.68         -82.9645        81.0428         
0.0362712       0               180             -1.03374        0.0888618       
-3.65309e-05    -1.17186        0.0534552       -120.49         34.68           
157.392         47.3884         379.333         -82.3157        82.0737         
5.40227         0               -0              0.00291699      47749.9         
10.3808         1234.1          1.40763e+06     29940.9         0.4             
0               76              21              -2.48048        -2.48048        
0.268796        0               0               0.268796        0               
0               0.0111516       0.0111516       -0.960035       0.121214        
-0              81.0127         -83.0067        -6.76504e-05    -0.000241069    
-0.000487208    -0.0772699      0.0402879       0.0420148       -5.8819         
-0.796862       -2.54238        6.4572          0.0967419       0.00054778      
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
