1 f16c11_7.asc 3 Waypoints and terminal glide slope to IP ' F16 Aircraft ' Nov 30 2022 21:43:09
  0  0 63
time            vmach           pdynmc          dvba            psiblx          
thtblx          phiblx          alppx           phipx           alphax          
betax           erq             etbl            ppx             qqx             
rrx             VBEB1           VBEB2           VBEB3           SBEL1           
SBEL2           SBEL3           VBEL1           VBEL2           VBEL3           
dvbe            hbe             psivlx          thtvlx          alx             
anx             ayx             throttle        thrust          idle            
mil             max             stmarg          dma             dmde            
gmax            gminx           realp1          realp2          wnp             
zetp            realy1          realy2          wny             zety            
nl_gain         dwbh            wp_flag         delacx          delecx          
delrcx          alcomx          ancomx          altcom          zetlagr         
delax           delex           delrx           
51910.3         97932.8         -0.0280957      2.42633         -13.2969        
6.21062         -1.93066        0.335639        -2.79181        0               
0               0               0               3.4699          0.00271621      
0.399989        5147.39         1               -4.22647        -0.994786       
0               3.27679         4.07574         1000            0.7             
-4.10525        -0.842984       0               
1.5             0.543526        18595.7         182.87          19.6458         
-0.862136       70.9144         10.7027         -17.8501        10.1986         
-3.2634         -2.8143e-07     1.41421         0.943871        12.5524         
4.44196         179.697         -10.3974        32.2864         272.075         
10.3608         -995.64         180.608         28.467          3.43495         
182.87          995.64          8.95714         -1.07628        4.36653         
4.4259          0.348125        0.77            51886.5         -2871.62        
51911.4         97931.8         -0.0300483      2.59503         -13.2012        
6.20859         -1.93003        0.388126        -2.84546        0               
0               0               0               3.46845         0.00272129      
0.399988        5129.69         1               -4.42989        -1.37897        
0               3.03883         4.09675         1000            0.7             
-4.41438        -1.2922         0               
1.6             0.543439        18590.5         182.842         20.8932         
-0.764797       70.9494         10.6155         -17.4459        10.1376         
-3.16604        -2.19659e-07    1.41421         0.10601         11.7515         
1.84513         179.72          -10.0857        32.0937         290.1           
13.4181         -995.301        179.869         32.666          3.34097         
182.841         995.301         10.2933         -1.04699        4.30822         
4.37015         0.331093        0.77            51899           -2869.86        
51912.5         97931.2         -0.0294495      2.54146         -13.1295        
6.20685         -1.92949        0.372548        -2.82766        0               
0               0               0               3.46908         0.00271571      
0.399988        5111.9          1               -4.24274        -1.58088        
0               2.80128         4.10568         1000            0.7             
-4.32964        -1.54173        0               
1.7             0.543381        18587.3         182.823         22.0093         
-0.4531         70.8414         10.4265         -16.0286        10.0296         
