1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM2 vs AC2 ' Oct 23 2022 19:32:21
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
107.43          39.1014         -115.541        174.951         115.541         
20.0001         46.3478         0.353061        0.000177795     278.047         
31435.3         2.79112         2.68935         375.74          -0.0454625      
-0.281526       -20.9291        0               0               -46.699         
6.27302         6.62366         0               -0.297795       -0.15936        
-21.0456        -10.6025        18392.9         0               1               
0               0               0               0               0               
46.3101         19.9664         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
37.3592         0.300562        0               0               0               
0.00182849      0.0847939       0.00025848      -0.00208697     0.0829655       
-0.00157001     -0.0866224      0               0               0               
0               120021          18392.7         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137.6           0               2.242           0.545345        20774.7         
20.0004         50.0734         -0.0256866      3.59935         -0.0283791      
3.59935         -0.00178161     0.0265064       0.0958845       0.00037931      
119.103         43.3502         -128.592        185.413         128.592         
20.0002         46.4752         0.386148        0.000195904     276.672         
31440.2         2.78487         2.68185         372.74          -0.0445969      
-0.300952       -22.6803        0               0               -50.865         
7.22309         7.60665         0               -0.298058       -0.172591       
-22.8027        -11.4877        18381.3         0               1               
0               0               0               0               0               
46.4386         19.9671         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
40.692          0.320415        0               0               0               
-0.00316582     0.0796095       0.000250526     0.00291529      0.0827753       
0.00341634      -0.0764437      0               0               0               
0               120021          18381.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137.7           0               2.342           0.5763          23161.9         
20.0005         50.0829         -0.025486       3.48444         -0.0285814      
3.48444         -0.00173711     -0.00625501     0.0945843       0.000385372     
131.427         47.8357         -142.43         195.901         142.43          
20.0002         46.5996         0.419625        0.000214583     275.297         
31445.3         2.77862         2.67435         369.74          -0.0437055      
-0.320698       -24.4981        0               0               -55.1978        
8.26245         8.67934         0               -0.298275       -0.186221       
-24.6263        -12.4063        18368.8         0               1               
0               0               0               0               0               
46.5639         19.9677         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
44.1583         0.340521        0               0               0               
-0.00293883     0.0743058       0.000243103     0.00269573      0.0772446       
0.00318193      -0.071367       0               0               0               
0               120021          18368.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137.8           0               2.442           0.607334        25678.9         
20.0005         50.0923         -0.0259264      3.372           -0.0294341      
3.372           -0.00173127     -0.0376041      0.0928333       0.000391143     
144.4           52.5575         -157.06         206.411         157.06          
20.0002         46.7214         0.453297        0.000238664     273.922         
31450.7         2.77237         2.66685         366.74          -0.0427806      
-0.340759       -26.3831        0               0               -59.6968        
9.39497         9.84539         0               -0.298431       -0.200247       
-26.5171        -13.3587        18355.3         0               1               
0               0               0               0               0               
46.6865         19.9682         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
47.7574         0.360872        0               0               0               
0.00348038      0.0691993       0.000236308     -0.00371669     0.0657189       
-0.00324407     -0.0726797      0               0               0               
0               120021          18355.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
137.9           0               2.542           0.638435        28324.3         
20.0006         50.1015         -0.0262248      3.26169         -0.0301542      
3.26169         -0.00171567     0.0117478       0.090702        0.00039787      
158.021         57.5151         -172.486        216.938         172.486         
20.0002         46.8409         0.486959        0.000262567     272.547         
31456.5         2.76612         2.65935         363.74          -0.041811       
-0.361134       -28.336         0               0               -64.3607        
10.6244         11.1083         0               -0.298515       -0.214664       
-28.4756        -14.3451        18340.8         0               1               
0               0               0               0               0               
46.8067         19.9687         -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
51.4885         0.381462        0               0               0               
0.00274066      0.0643196       0.000227884     -0.00296854     0.0615789       
-0.00251277     -0.0670602      0               0               0               
0               120021          18340.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
138             0               2.642           0.669591        31096.1         
20.0006         50.1104         -0.0255087      3.15328         -0.0298706      
3.15328         -0.0016431      0.0206095       0.0882078       0.000401572     
172.288         62.708          -188.711        227.478         188.711         
20.0003         46.9582         0.520401        0.000278257     271.172         
31462.5         2.75987         2.65185         360.74          -0.040785       
-0.38182        -30.3572        0               0               -69.1879        
11.9543         12.4716         0               -0.298516       -0.229468       
-30.5023        -15.3659        18325.4         0               1               
0               0               0               0               0               
46.9248         19.9692         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
55.3503         0.402281        0               0               0               
-0.00340865     0.059647        0.000219013     0.00318964      0.0630557       
0.00362766      -0.0562384      0               0               0               
0               120021          18325.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
138.1           0               2.742           0.700787        33992.2         
20.0007         50.1191         -0.0259138      3.04662         -0.0307159      
