0               0               0               0               0               
23.8781         -159.988        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
18.0122         0.173625        0               0               0               
-0.00257681     0.0931028       1.20767e-05     0.00256473      0.0956796       
0.00258889      -0.090526       0               0               0               
0               120021          19721.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.4            0               1.512           0.33619         7988.38         
-160            30.0346         -0.000736453    5.94713         -0.000300406    
5.94713         -3.11252e-05    0.006735        0.0773306       -8.99235e-05    
-65.8269        -23.959         -29.6606        114.468         29.6606         
-160            24.0896         0.23449         1.33336e-06     284.88          
30723.9         2.8244          2.7488          394.64          -0.0371591      
-0.180289       -11.9529        0               0               -25.5823        
2.25532         2.48878         0               -0.310524       -0.0868793      
-12.0426        -6.06475        19695.8         0               1               
0               0               0               0               0               
24.11           -159.988        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
20.4658         0.191543        0               0               0               
-0.00263937     0.104093        1.03496e-05     0.00262902      0.106733        
0.00264972      -0.101454       0               0               0               
0               120021          19695.7         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.5            0               1.612           0.366585        9492.62         
-160            30.0431         -0.00084601     5.7391          -0.000363862    
5.7391          -3.63857e-05    0.0099291       0.0925428       -9.00769e-05    
-76.0803        -27.6909        -34.5646        124.802         34.5646         
-160            24.306          0.270625        1.82006e-06     283.88          
30864.9         2.8194          2.7388          391.64          -0.0414889      
-0.196274       -13.3502        0               0               -28.8307        
2.75963         3.02883         0               -0.315234       -0.095848       
-13.4467        -6.77129        19668.9         0               1               
0               0               0               0               0               
24.3238         -159.988        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
23.0646         0.209732        0               0               0               
0.00188037      0.114178        9.18235e-06     -0.00188955     0.112297        
-0.00187118     -0.116058       0               0               0               
0               120021          19668.8         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.6            0               1.712           0.397207        11137.7         
-160            30.0531         -0.000931968    5.5464          -0.00040492     
5.5464          -3.91363e-05    0.00844927      0.108267        -9.03387e-05    
-87.2044        -31.7398        -39.9369        135.211         39.9369         
-160            24.5086         0.30884         2.27917e-06     282.88          
31006.1         2.8144          2.7288          388.64          -0.0459029      
-0.212341       -14.8145        0               0               -32.2646        
3.33169         3.63863         0               -0.320167       -0.104978       
-14.9178        -7.51141        19641           0               1               
0               0               0               0               0               
24.5242         -159.989        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
25.8116         0.228189        0               0               0               
0.00211434      0.123216        8.06472e-06     -0.00212241     0.121102        
-0.00210628     -0.12533        0               0               0               
0               120021          19640.9         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
80.7            0               1.812           0.428051        12925.6         
-160            30.0647         -0.000981304    5.36562         -0.000412076    
5.36562         -3.85336e-05    0.00719516      0.124306        -9.07567e-05    
-99.2035        -36.1071        -45.7849        145.693         45.7849         
-160            24.7008         0.348975        2.60031e-06     281.88          
31147.5         2.8094          2.7188          385.64          -0.0503944      
-0.22849        -16.3477        0               0               -35.8875        
