1 input_SAM_RF_AC_Radar_#1_#2_#3.asc  Oct 23 2022 19:32:20
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
4.00444         0.000947064     0.0171134       0.112529        -0.000431905    
-0.000386134    -130.778        -109.49         180.145         109.49          
-90.0003        41.0764         0.404838        -9.82941e-05    277.539         
31433           2.78881         2.68658         374.63          -0.0481146      
-0.289814       -21.7952        0               0               -48.7853        
6.70275         7.10462         0               -0.30816        -0.161421       
-21.9182        -11.0398        19361.3         0               1               
0               0               0               0               0               
41.0613         -90.0279        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
39.0283         0.310384        0               0               0               
0.00212214      0.0960867       -0.000137552    -0.00198459     0.0939645       
-0.00225969     -0.0982088      0               0               0               
0               120021          19361.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
53              0               2.279           0.560764        21984           
-90.0008        45.0908         0.00978239      3.87768         0.0142249       
3.87768         0.000961984     0.0305942       0.111859        -0.000438662    
-0.000472828    -144.74         -121.689        190.668         121.689         
-90.0004        41.2143         0.441685        -0.000112546    276.164         
31437.6         2.78256         2.67908         371.63          -0.0473403      
-0.309414       -23.5899        0               0               -53.063         
7.69941         8.13793         0               -0.308363       -0.174786       
-23.7189        -11.9468        19321.6         0               1               
0               0               0               0               0               
41.199          -90.0276        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
42.4504         0.330481        0               0               0               
0.00157413      0.0902193       -0.000137972    -0.00143616     0.0886452       
-0.0017121      -0.0917934      0               0               0               
0               120021          19321.4         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
53.1            0               2.379           0.591886        24454.3         
-90.0008        45.1019         0.0101643       3.75384         0.0150113       
3.75384         0.000982788     0.00482383      0.110493        -0.000445285    
-0.000573405    -159.464        -134.617        201.215         134.617         
-90.0004        41.3493         0.478888        -0.000128567    274.789         
31442.4         2.77631         2.67158         368.63          -0.0465325      
-0.329338       -25.4524        0               0               -57.5096        
8.7883          9.26383         0               -0.308504       -0.188568       
-25.5872        -12.8879        19280.8         0               1               
0               0               0               0               0               
41.3337         -90.0274        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
46.0077         0.350833        0               0               0               
-0.00324176     0.0844155       -0.000133053    0.00337482      0.0876572       
0.00310871      -0.0811737      0               0               0               
0               120021          19280.6         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
53.2            0               2.479           0.623077        27055.7         
-90.0009        45.1128         0.00998603      3.63246         0.0152509       
3.63246         0.000966237     -0.0290216      0.108645        -0.000453402    
-0.000689451    -174.95         -148.277        211.781         148.277         
-90.0005        41.4816         0.516224        -0.00014069     273.414         
31447.5         2.77006         2.66408         365.63          -0.0456803      
-0.349585       -27.3833        0               0               -62.1245        
9.97332         10.486          0               -0.308571       -0.202766       
-27.5239        -13.8634        19239.1         0               1               
0               0               0               0               0               
41.4658         -90.0271        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
49.6996         0.371434        0               0               0               
-0.00193048     0.0788336       -0.000126193    0.00205668      0.080764        
0.00180429      -0.0769031      0               0               0               
0               120021          19238.9         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
53.3            0               2.579           0.654326        29786.5         
-90.001         45.1236         0.00946874      3.51323         0.0151661       
3.51323         0.00092936      0.00771334      0.106355        -0.000459371    
-0.000822417    -191.195        -162.674        222.361         162.674         
-90.0005        41.6116         0.553463        -0.000150558    272.039         
31452.8         2.76381         2.65658         362.63          -0.0447743      
-0.370152       -29.3834        0               0               -66.9063        
11.2583         11.808          0               -0.308552       -0.217374       
-29.5297        -14.8735        19196.3         0               1               
0               0               0               0               0               
41.5955         -90.0269        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
53.525          0.392276        0               0               0               
0.00312437      0.0734857       -0.000128908    -0.00299547     0.0703613       
-0.00325328     -0.0766101      0               0               0               
0               120021          19196.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
53.4            0               2.679           0.685618        32644.8         
-90.001         45.1341         0.0102732       3.39595         0.0164135       
3.39595         0.000972267     0.0277456       0.103631        -0.00046077     
-0.000973495    -208.199        -177.811        232.95          177.811         
-90.0005        41.7393         0.590374        -0.000173788    270.664         
31458.4         2.75756         2.64908         359.63          -0.0438075      
-0.391035       -31.453         0               0               -71.8532        
12.6468         13.2333         0               -0.308437       -0.232389       
-31.6048        -15.9186        19152.5         0               1               
0               0               0               0               0               
41.7231         -90.0268        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
57.4825         0.413351        0               0               0               
-0.00367165     0.068343        -0.000131062    0.00380271      0.0720147       
0.00354059      -0.0646713      0               0               0               
0               120021          19152.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
53.5            0               2.779           0.716938        35628           
-90.0011        45.1443         0.0100518       3.28048         0.016647        
