TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.1600 17.6183 1017.2074 0.7827 -0.0730 0.0499 -0.0074 -1.4511 2.7450
0.1610 17.8400 1017.4239 0.7826 -0.0745 0.0499 -0.0093 -1.4691 2.7786
0.1620 18.0631 1017.6417 0.7825 -0.0760 0.0498 -0.0113 -1.4872 2.8122
0.1630 18.2874 1017.8608 0.7824 -0.0774 0.0498 -0.0132 -1.5054 2.8460
0.1640 18.5131 1018.0812 0.7824 -0.0790 0.0498 -0.0152 -1.5236 2.8797
0.1650 18.7402 1018.3029 0.7823 -0.0805 0.0498 -0.0172 -1.5418 2.9135
0.1660 18.9686 1018.5258 0.7822 -0.0820 0.0498 -0.0192 -1.5600 2.9474
0.1670 19.1983 1018.7501 0.7821 -0.0836 0.0498 -0.0213 -1.5783 2.9813
0.1680 19.4293 1018.9757 0.7820 -0.0852 0.0497 -0.0233 -1.5966 3.0152
0.1690 19.6616 1019.2025 0.7819 -0.0868 0.0497 -0.0253 -1.6149 3.0492
0.1700 19.8953 1019.4307 0.7819 -0.0884 0.0497 -0.0274 -1.6333 3.0832
0.1710 20.1303 1019.6601 0.7818 -0.0901 0.0497 -0.0295 -1.6517 3.1172
0.1720 20.3667 1019.8908 0.7817 -0.0917 0.0496 -0.0316 -1.6700 3.1512
0.1730 20.6043 1020.1228 0.7816 -0.0934 0.0496 -0.0337 -1.6884 3.1852
0.1740 20.8433 1020.3561 0.7815 -0.0951 0.0496 -0.0358 -1.7068 3.2192
0.1750 21.0836 1020.5907 0.7814 -0.0968 0.0495 -0.0379 -1.7253 3.2532
0.1760 21.3252 1020.8265 0.7813 -0.0986 0.0495 -0.0401 -1.7437 3.2872
0.1770 21.5682 1021.0637 0.7812 -0.1003 0.0494 -0.0422 -1.7621 3.3211
0.1780 21.8124 1021.3021 0.7811 -0.1021 0.0494 -0.0444 -1.7805 3.3551
0.1790 22.0580 1021.5418 0.7810 -0.1039 0.0494 -0.0466 -1.7989 3.3890
0.1800 22.3049 1021.7827 0.7809 -0.1057 0.0493 -0.0488 -1.8173 3.4228
0.1810 22.5531 1022.0250 0.7808 -0.1075 0.0493 -0.0510 -1.8356 3.4566
0.1820 22.8026 1022.2685 0.7807 -0.1094 0.0492 -0.0532 -1.8540 3.4904
0.1830 23.0534 1022.5133 0.7806 -0.1112 0.0492 -0.0554 -1.8723 3.5241
0.1840 23.3056 1022.7593 0.7805 -0.1131 0.0491 -0.0577 -1.8906 3.5577
0.1850 23.5590 1023.0066 0.7803 -0.1150 0.0490 -0.0599 -1.9089 3.5913
0.1860 23.8138 1023.2552 0.7802 -0.1169 0.0490 -0.0622 -1.9271 3.6247
0.1870 24.0698 1023.5051 0.7801 -0.1189 0.0489 -0.0645 -1.9453 3.6581
0.1880 24.3272 1023.7562 0.7800 -0.1208 0.0488 -0.0668 -1.9635 3.6914
0.1890 24.5859 1024.0086 0.7799 -0.1228 0.0488 -0.0691 -1.9816 3.7246
0.1900 24.8458 1024.2622 0.7797 -0.1248 0.0487 -0.0715 -1.9997 3.7577
0.1910 25.1071 1024.5172 0.7796 -0.1268 0.0486 -0.0738 -2.0178 3.7907
0.1920 25.3697 1024.7733 0.7795 -0.1288 0.0486 -0.0762 -2.0358 3.8237
0.1930 25.6336 1025.0308 0.7794 -0.1309 0.0485 -0.0786 -2.0538 3.8565
0.1940 25.8988 1025.2895 0.7792 -0.1329 0.0484 -0.0810 -2.0717 3.8892
