1 input_9_1_1 AGM6 Test Case.asc  Nov 30 2022 21:05:34
  0  0 53
time            vmach_m1        psiblx_m1       thtblx_m1       phiblx_m1       
SBEL1_m1        SBEL2_m1        SBEL3_m1        VBEL1_m1        VBEL2_m1        
VBEL3_m1        mseek_m1        mach_t1         SAEL1_t1        SAEL2_t1        
SAEL3_t1        VAEL1_t1        VAEL2_t1        VAEL3_t1        psivlx_t1       
thtvlx_t1       alt_t1          aax_t1          alx_t1          anx_t1          
mach_a1         SAEL1_a1        SAEL2_a1        SAEL3_a1        VAEL1_a1        
VAEL2_a1        VAEL3_a1        psivlx_a1       thtvlx_a1       alt_a1          
STCEL11_a1      STCEL12_a1      STCEL13_a1      VTCEL11_a1      VTCEL12_a1      
VTCEL13_a1      STCEL21_a1      STCEL22_a1      STCEL23_a1      VTCEL21_a1      
VTCEL22_a1      VTCEL23_a1      STCEL31_a1      STCEL32_a1      STCEL33_a1      
VTCEL31_a1      VTCEL32_a1      VTCEL33_a1      
0.946734        5594.59         0               -6908.92        295.989         
0               4.94815         0               -0.957746       6908.92         
32992.1         9945.56         -55.9307        2.40572         -5.06314        
-0.338762       0               0               0               0               
0               0               0               0               0               
0               0               0               
20              1.13182         2.93095         11.9072         0.0558138       
6394.34         249.021         -6912.59        351.736         33.9181         
-26.8141        2               0.0147099       33019.4         9902.55         
-100            1.91383         -4.61927        0               -67.495         
-0              100             0               0.01            1               
0.947195        5890.66         0               -6903.97        296.153         
0               4.95089         0               -0.957746       6903.97         
33013.2         9917.68         -98.6415        1.96107         -5.04891        
0.281794        0               0               0               0               
0               0               0               0               0               
0               0               0               
21              1.14144         3.31418         12.0442         0.0690137       
6747.41         284.207         -6940.62        354.384         36.4603         
-29.2267        2               0.0147099       33021.3         9897.95         
-100            2.00417         -4.5808         0               -66.3698        
-0              100             0               0.01            1               
0.947656        6186.9          0               -6899.02        296.316         
0               4.95363         0               -0.957746       6899.02         
33022.1         9887.21         -93.4173        2.36766         -4.90028        
-0.425146       0               0               0               0               
0               0               0               0               0               
0               0               0               
22              1.15103         3.70724         12.1666         0.0831949       
7103.1          321.952         -6970.98        356.995         39.0384         
-31.4685        2               0.0147099       33023.4         9893.39         
-100            2.09374         -4.54056        0               -65.2446        
-0              100             0               0.01            1               
